Asset Name,Asset Type,Cloud,Critical Alerts,High Alerts,Medium Alerts,Low Alerts,Informational Alerts,Critical Vulnerability,High Vulnerability,Medium Vulnerability,Low Vulnerability,Account ID,Account Name,Asset ID,Region ID,Region,Actions
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-MQ-07","EC2 Instance","aws",0,3,1,0,0,4,96,72,7,"158060049443","RCSMaaP_PRD - 158060049443","i-06a1cadc635ae2955","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-A2P-07","EC2 Instance","aws",0,3,1,0,0,5,153,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-06d6669e95eed10d6","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-MQ-07","EC2 Instance","aws",0,3,1,0,0,4,96,72,7,"158060049443","RCSMaaP_PRD - 158060049443","i-0dc3153ba07ad49e3","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-A2P-07","EC2 Instance","aws",0,3,1,0,0,5,153,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-09b0660870850692c","ap-northeast-2","AWS Seoul",
"i-03ad2addfb0b1f268","EC2 Instance","aws",0,3,1,0,0,1,51,59,10,"590184057287","aws-itmod-releng - 590184057287","i-03ad2addfb0b1f268","ap-northeast-2","AWS Seoul",
"rapaoe-aoe","EC2 Instance","aws",0,3,1,0,0,29,205,413,715,"932507484725","aws-AICC-bmt - 932507484725","i-0ddba71af276505bb","ap-northeast-2","AWS Seoul",
"ELECTION","EC2 Instance","aws",3,1,0,0,0,4,33,22,6,"419420945181","aws-stgdev-msghub - 419420945181","i-054384f5ab49c046f","ap-northeast-2","AWS Seoul",
"eks-node-prod-mobvas","EC2 Instance","aws",0,3,1,0,0,8,171,530,31,"265556339801","aws-prd-mobvas - 265556339801","i-06049f95d92c62b14","ap-northeast-2","AWS Seoul",
"styx-data-transition-ec2","EC2 Instance","aws",0,3,1,0,0,26,181,489,153,"413372654015","daxclean - 413372654015","i-04bf5273efae50bc0","ap-northeast-2","AWS Seoul",
"i-057688f7deef61ccc","EC2 Instance","aws",0,3,1,0,0,2,72,174,15,"932507484725","aws-AICC-bmt - 932507484725","i-057688f7deef61ccc","ap-northeast-2","AWS Seoul",
"jenkins-releng_apnortheast2-v000","EC2 Instance","aws",0,3,1,0,0,11,284,860,43,"560580250579","svcprotoreleng - 560580250579","i-07191096dc1bc570b","ap-northeast-2","AWS Seoul",
"jenkins-relengd_apnortheast2-v000","EC2 Instance","aws",0,3,1,0,0,11,284,860,43,"560580250579","svcprotoreleng - 560580250579","i-06d9b642f9e9d3fe6","ap-northeast-2","AWS Seoul",
"sharkvary-private-dev","EC2 Instance","aws",0,3,1,0,0,7,78,1048,92,"590183678280","aws-dev-ugpt - 590183678280","i-08b3e1b907dd2eb16","ap-northeast-2","AWS Seoul",
"i-0a7c5844cc8afc3d8","EC2 Instance","aws",0,3,1,0,0,2,72,174,15,"932507484725","aws-AICC-bmt - 932507484725","i-0a7c5844cc8afc3d8","ap-northeast-2","AWS Seoul",
"i-0c3aad8c1c075d04c","EC2 Instance","aws",0,3,1,0,0,1,51,59,10,"590184057287","aws-itmod-releng - 590184057287","i-0c3aad8c1c075d04c","ap-northeast-2","AWS Seoul",
"transithub-netx_apnortheast2-v033","EC2 Instance","aws",0,3,1,0,0,1,396,1445,58,"506954789174","dax-network - 506954789174","i-0f5b2c21cb503ae66","ap-northeast-2","AWS Seoul",
"avaya-ams","EC2 Instance","aws",0,3,1,0,0,13,46,299,654,"932507484725","aws-AICC-bmt - 932507484725","i-0f48b7b4ec6a58e40","ap-northeast-2","AWS Seoul",
"diquest-nlp","EC2 Instance","aws",0,3,1,0,0,61,190,458,661,"932507484725","aws-AICC-bmt - 932507484725","i-0e7ffa1aadb763f77","ap-northeast-2","AWS Seoul",
"dbic-rec","EC2 Instance","aws",0,3,1,0,0,33,92,324,642,"932507484725","aws-AICC-bmt - 932507484725","i-0dc51486b627527ad","ap-northeast-2","AWS Seoul",
"avaya-sm","EC2 Instance","aws",0,3,1,0,0,9,120,403,677,"932507484725","aws-AICC-bmt - 932507484725","i-06677bf33e5b2dca3","ap-northeast-2","AWS Seoul",
"avaya-aes","EC2 Instance","aws",0,3,1,0,0,15,79,343,706,"932507484725","aws-AICC-bmt - 932507484725","i-04eff8a182619aff8","ap-northeast-2","AWS Seoul",
"ecs-cti","EC2 Instance","aws",0,3,1,0,0,13,86,1951,1228,"932507484725","aws-AICC-bmt - 932507484725","i-05224732f8a6ee5f7","ap-northeast-2","AWS Seoul",
"teumv3api-teums_apnortheast2-v013","EC2 Instance","aws",0,3,1,0,0,9,427,1486,58,"519057813841","Flagship_app_dev - 519057813841","i-0ea8d6f3dcfe02d26","ap-northeast-2","AWS Seoul",
"ec2-dev-cIcc-ivr-was-01","EC2 Instance","aws",0,3,1,0,0,95,370,902,74,"773872345005","awsdevclcc - 773872345005","i-0e4fba5ffb32eb4f9","ap-northeast-2","AWS Seoul",
"teumv3api-teumd_apnortheast2-v114","EC2 Instance","aws",0,3,1,0,0,9,427,1486,58,"519057813841","Flagship_app_dev - 519057813841","i-0e888f398eeaea755","ap-northeast-2","AWS Seoul",
"i-00e70f95cf09b1a26","EC2 Instance","aws",0,3,1,0,0,2,72,174,15,"932507484725","aws-AICC-bmt - 932507484725","i-00e70f95cf09b1a26","ap-northeast-2","AWS Seoul",
"i-0a83d53d0e0f5cac6","EC2 Instance","aws",0,3,1,0,0,2,72,174,15,"932507484725","aws-AICC-bmt - 932507484725","i-0a83d53d0e0f5cac6","ap-northeast-2","AWS Seoul",
"eks-violet-prd-service-ixisolution-g4dn-12xlarge-ng","EC2 Instance","aws",0,3,1,0,0,3,64,87,16,"058264436158","aws-prd-violet - 058264436158","i-0c2bd4913aaafbc9a","ap-northeast-2","AWS Seoul",
"eks-violet-prd-service-ixisolution-g4dn-12xlarge-ng","EC2 Instance","aws",0,3,1,0,0,4,71,97,17,"058264436158","aws-prd-violet - 058264436158","i-0ac0c6a387e341274","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-NODE-A2P-SPAM-01","EC2 Instance","aws",0,3,1,0,0,5,153,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-090db843b662669f1","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-NODE-A2P-SPAM-01","EC2 Instance","aws",0,3,1,0,0,5,153,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-0c1545fef95e79705","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-MQ-01","EC2 Instance","aws",0,3,1,0,0,5,152,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-0234a58a8ae9085f2","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-MQ-02","EC2 Instance","aws",0,3,1,0,0,5,152,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-030e679c5d573ec21","ap-northeast-2","AWS Seoul",
"PRD-RCS-MAAP-EKS-1-30-NODE-30-PRD-RCS-MAAP-MQ-01","EC2 Instance","aws",0,3,1,0,0,5,152,397,22,"158060049443","RCSMaaP_PRD - 158060049443","i-0fe0a74f2c52dc34a","ap-northeast-2","AWS Seoul",
"ec2-iptvsif-iptvottprod-searchif-onprem-proxy","EC2 Instance","aws",2,1,0,0,1,15,91,141,30,"971216839324","IPTV_OTT_SEARCH_prod - 971216839324","i-08159df636022a62f","ap-northeast-2","AWS Seoul",
"eks-if-dev-eagw-eksng-if-dev-eagw1-Node","EC2 Instance","aws",0,3,1,0,0,11,256,794,62,"953155295956","AWS_DEV_EAGW - 953155295956","i-0da0c484c73a0b5ea","ap-northeast-2","AWS Seoul",
"INARA-PRD-WORKLOAD-IMDSV1-MANAGED-V1_31_DSA_X","EC2 Instance","aws",0,3,1,0,0,3,72,176,15,"532975624498","INARA-PROD - 532975624498","i-0fd9d73487f3d8231","ap-northeast-2","AWS Seoul",
"INARA-PRD-WORKLOAD-IMDSV1-MANAGED-V1_31_DSA_X","EC2 Instance","aws",0,3,1,0,0,3,72,176,15,"532975624498","INARA-PROD - 532975624498","i-026ec9f16a8a24704","ap-northeast-2","AWS Seoul",
"ec2-az02-prod-remocon","EC2 Instance","aws",3,1,0,0,0,7,847,2611,175,"881711242767","aws-prd-remoconApp - 881711242767","i-0268933f9f67bd424","ap-northeast-2","AWS Seoul",
"i-06900acb2ff4da215","EC2 Instance","aws",0,3,1,0,0,3,113,389,19,"532244111777","AWS_CM_SHARE - 532244111777","i-06900acb2ff4da215","ap-northeast-2","AWS Seoul",
"cmshareapne2-fiio-ondemand","EC2 Instance","aws",0,3,1,0,0,0,44,67,12,"532244111777","AWS_CM_SHARE - 532244111777","i-04291dae952f81e06","ap-northeast-2","AWS Seoul",
